run,kind,step,checkpoint,checkpoint_sha256,checkpoint_meta_sha256
attention_only,attention_only_model_only,238,/root/userdata/MappingNetworks/outputs/y400_mai_scaling_ladder_v3/diagnostics/124m_cproj_terminal_matched/checkpoints/attention_only_0p5tpp.model-only.pt,56e72a50831342bf6fde75d8678fde2e5c14bef8413e48b20b5f0f17b1e1dbe5,
plain_cproj,plain_generated_cproj,238,/root/userdata/MappingNetworks/outputs/y400_mai_scaling_ladder_v3/y400_mai_v3_124m_fullattn_plus_mlp_cproj_0p5tpp_lr24e4_provisional/ckpt.pt,7e450e2f78fa33a049ea990386e0c7b8f9b139ddb174e4d1bfc76dd0ff0ebcdc,3f2e69abc640d612e427517281a9bc828fd70b171f04221f9390a116cafda836
group12_inputgain,input_grouped_generated_cproj_with_input_gain,238,/root/userdata/MappingNetworks/outputs/y400_mai_scaling_ladder_v3/y400_mai_v3_124m_fullattn_plus_mlp_cproj_group12_inputgain_0p5tpp_lr24e4_provisional_muon/ckpt.pt,50041b6bcba8ec02831089bdfc8f5e5149d832861cb427843c3bc24aab8d5e4d,a1a965c8e414ee8c1d50b7a5e2761bd5b6a93b1639fb20d2c6c0c8a56f135213
dualgain,plain_generated_cproj_with_input_and_output_gain,238,/root/userdata/MappingNetworks/outputs/y400_mai_scaling_ladder_v3/y400_mai_v3_124m_fullattn_plus_mlp_cproj_dualgain_0p5tpp_lr24e4_provisional_muon/ckpt.pt,97d1ea2f2ece6d3c51016fc87e717429246d9149e51cfc31d70b00f3e513e94b,6028e73022f13becf7a0266f95a19c3f23fb39c41ab4bb82770074fd584b31de
