run,kind,step,checkpoint,checkpoint_sha256,checkpoint_meta_sha256
attention_only,attention_only_model_only,238,/root/userdata/MappingNetworks/outputs/y400_mai_scaling_ladder_v3/diagnostics/124m_cproj_terminal_matched/checkpoints/attention_only_0p5tpp.model-only.pt,56e72a50831342bf6fde75d8678fde2e5c14bef8413e48b20b5f0f17b1e1dbe5,
plain_cproj,plain_generated_cproj,238,/root/userdata/MappingNetworks/outputs/y400_mai_scaling_ladder_v3/y400_mai_v3_124m_fullattn_plus_mlp_cproj_0p5tpp_lr24e4_provisional/ckpt.pt,7e450e2f78fa33a049ea990386e0c7b8f9b139ddb174e4d1bfc76dd0ff0ebcdc,3f2e69abc640d612e427517281a9bc828fd70b171f04221f9390a116cafda836
group12_inputgain,input_grouped_generated_cproj_with_input_gain,238,/root/userdata/MappingNetworks/outputs/y400_mai_scaling_ladder_v3/y400_mai_v3_124m_fullattn_plus_mlp_cproj_group12_inputgain_0p5tpp_lr24e4_provisional_muon/ckpt.pt,50041b6bcba8ec02831089bdfc8f5e5149d832861cb427843c3bc24aab8d5e4d,a1a965c8e414ee8c1d50b7a5e2761bd5b6a93b1639fb20d2c6c0c8a56f135213
spectral64_fixedbasis,fixed_fht_basis_rank64_learned_diagonal_residual_adamw_vector,238,/root/userdata/MappingNetworks/outputs/y400_mai_scaling_ladder_v3/y400_mai_v3_124m_fullattn_plus_mlp_cproj_spectral64_fixedbasis_0p5tpp_lr24e4_provisional_muon/ckpt.pt,4993f0210a507be6b335d08720775bebb0a5e926d84489d978e3c54eabe0a5b3,eef087c04eb4369bacaac3d5483c8c9e283f81b7a2497f74b320469b5b0d31b9
spectral64_muondiag,fixed_fht_basis_rank64_learned_diagonal_residual_muon_matrix,238,/root/userdata/MappingNetworks/outputs/y400_mai_scaling_ladder_v3/y400_mai_v3_124m_fullattn_plus_mlp_cproj_spectral64_muondiag_0p5tpp_lr24e4_provisional_muon/ckpt.pt,07f6f201dfcb56301ef874833384be819b0fcc083dbae1b75a8b9d95483f6528,a37ea3ec8265d2eaa3ac4cf4ffc1a50d176197875909dec862d43909d9e8d9c2
