run,checkpoint,layer,regime,samples,residual_rms_mean,update_rms_mean,output_rms_mean,update_to_residual_rms,residual_update_cos_mean,residual_update_cos_p05,residual_update_cos_p50,residual_update_cos_p95,residual_update_parallel_energy,residual_update_cka,residual_soft_rank,residual_hard_rank,update_soft_rank,update_hard_rank,output_soft_rank,output_hard_rank,residual_add_reconstruction_max_abs,ln2_soft_rank,ln2_hard_rank,pregelu_soft_rank,pregelu_hard_rank,postgelu_soft_rank,postgelu_hard_rank,postgelu_to_pregelu_hard_rank
qk_only,/mnt/ssd-data/orj/MappingNetworks/outputs/pro6_mai_v3_attention_partial_controls/pro6_mai_v3_124m_qk_only_qk64_outputgain_20tpp_lr24e4/ckpt.pt,0,HEAD,256.0,0.10064692795276642,0.07481610774993896,0.11678826063871384,0.7433521151542664,-0.13811048865318298,-0.2183373123407364,-0.14836353063583374,-0.052081868052482605,0.022538237273693085,0.8108145594596863,16.003948211669922,7.54965877532959,20.344453811645508,13.427924156188965,11.67544174194336,4.985827922821045,2.9802322387695312e-08,16.112619400024414,7.652533054351807,23.54967498779297,15.467167854309082,20.442562103271484,11.421213150024414,0.7384165774629851
qk_only,/mnt/ssd-data/orj/MappingNetworks/outputs/pro6_mai_v3_attention_partial_controls/pro6_mai_v3_124m_qk_only_qk64_outputgain_20tpp_lr24e4/ckpt.pt,0,MID,256.0,0.0931321233510971,0.07542167603969574,0.119715616106987,0.8098352551460266,-0.0033797998912632465,-0.10675335675477982,-0.006870725657790899,0.09612994641065598,0.0053627933375537395,0.7838431596755981,54.40339660644531,12.825615882873535,85.98223114013672,47.34349822998047,44.51831817626953,10.298456192016602,2.9802322387695312e-08,58.537681579589844,13.94106674194336,85.84139251708984,40.36213684082031,83.37220764160156,32.07649612426758,0.794717491067692
qk_only,/mnt/ssd-data/orj/MappingNetworks/outputs/pro6_mai_v3_attention_partial_controls/pro6_mai_v3_124m_qk_only_qk64_outputgain_20tpp_lr24e4/ckpt.pt,0,TAIL,256.0,0.0864759236574173,0.08042678982019424,0.12197557091712952,0.9300483465194702,0.06706351041793823,-0.030927693471312523,0.07236960530281067,0.14370352029800415,0.007226171437650919,0.7101534008979797,64.21514129638672,13.78576374053955,97.8733139038086,50.6968879699707,60.76640319824219,14.244268417358398,2.9802322387695312e-08,65.08077239990234,14.096009254455566,88.52790832519531,33.0023193359375,90.88507843017578,32.86669158935547,0.995890357123042
qk_only,/mnt/ssd-data/orj/MappingNetworks/outputs/pro6_mai_v3_attention_partial_controls/pro6_mai_v3_124m_qk_only_qk64_outputgain_20tpp_lr24e4/ckpt.pt,1,HEAD,256.0,0.11771000176668167,0.05691678449511528,0.1256367266178131,0.48353397846221924,-0.09834539890289307,-0.17063046991825104,-0.1018117368221283,-0.03648489713668823,0.011946193873882294,0.5301723480224609,27.330228805541992,10.798348426818848,54.747398376464844,29.11503028869629,27.352235794067383,11.123074531555176,2.9802322387695312e-08,27.933509826660156,11.230157852172852,44.48386001586914,25.880565643310547,64.64541625976562,31.76740074157715,1.2274616088148829
qk_only,/mnt/ssd-data/orj/MappingNetworks/outputs/pro6_mai_v3_attention_partial_controls/pro6_mai_v3_124m_qk_only_qk64_outputgain_20tpp_lr24e4/ckpt.pt,1,MID,256.0,0.12228813767433167,0.058504022657871246,0.1298322081565857,0.4784112572669983,-0.10794657468795776,-0.17877379059791565,-0.10978928208351135,-0.03907550126314163,0.01451287604868412,0.5846343636512756,70.49116516113281,21.37836265563965,102.69470977783203,58.513877868652344,68.38063049316406,21.665748596191406,2.9802322387695312e-08,75.11682891845703,23.695283889770508,96.11982727050781,53.807830810546875,121.8762435913086,61.6033935546875,1.1448778481999802
qk_only,/mnt/ssd-data/orj/MappingNetworks/outputs/pro6_mai_v3_attention_partial_controls/pro6_mai_v3_124m_qk_only_qk64_outputgain_20tpp_lr24e4/ckpt.pt,1,TAIL,256.0,0.128021240234375,0.060067497193813324,0.13536548614501953,0.46919944882392883,-0.1087595671415329,-0.18908914923667908,-0.10790195316076279,-0.027931436896324158,0.014234916307032108,0.6100460886955261,83.96269989013672,27.824602127075195,105.57981872558594,54.69314956665039,82.46733093261719,28.348413467407227,2.9802322387695312e-08,86.71868133544922,29.494699478149414,92.70454406738281,40.74488067626953,135.28245544433594,70.8902816772461,1.7398573882321793
qk_only,/mnt/ssd-data/orj/MappingNetworks/outputs/pro6_mai_v3_attention_partial_controls/pro6_mai_v3_124m_qk_only_qk64_outputgain_20tpp_lr24e4/ckpt.pt,2,HEAD,256.0,0.10656766593456268,0.05283713340759277,0.12053673714399338,0.49580830335617065,0.029335908591747284,-0.08700943738222122,0.02545423060655594,0.16219305992126465,0.00834000576287508,0.596992552280426,48.151737213134766,25.55711555480957,60.55224609375,21.453916549682617,44.82362365722656,20.910974502563477,5.960464477539063e-08,49.143104553222656,25.757793426513672,55.11962127685547,31.426746368408203,83.0970458984375,35.895809173583984,1.1422057107912487
qk_only,/mnt/ssd-data/orj/MappingNetworks/outputs/pro6_mai_v3_attention_partial_controls/pro6_mai_v3_124m_qk_only_qk64_outputgain_20tpp_lr24e4/ckpt.pt,2,MID,256.0,0.11526769399642944,0.0574566014111042,0.13017359375953674,0.4984623193740845,0.010262307710945606,-0.12212900072336197,-0.0006181178614497185,0.11922395974397659,0.011376554146409035,0.6886904239654541,90.73555755615234,42.86064910888672,55.729454040527344,11.025874137878418,58.956356048583984,14.847079277038574,5.960464477539063e-08,101.7083511352539,56.085060119628906,96.42520141601562,56.47188186645508,95.29808807373047,24.734458923339844,0.4379960097988586
qk_only,/mnt/ssd-data/orj/MappingNetworks/outputs/pro6_mai_v3_attention_partial_controls/pro6_mai_v3_124m_qk_only_qk64_outputgain_20tpp_lr24e4/ckpt.pt,2,TAIL,256.0,0.12375008314847946,0.05537223815917969,0.13603192567825317,0.4474521279335022,0.009287059307098389,-0.08499336242675781,0.009793062694370747,0.11046424508094788,0.003574332455173135,0.7602593302726746,105.53900146484375,53.440792083740234,119.60218811035156,69.41223907470703,103.1862564086914,52.184410095214844,2.9802322387695312e-08,107.97019958496094,56.295021057128906,95.35831451416016,47.386470794677734,152.1210174560547,91.62640380859375,1.933598393634431
qk_only,/mnt/ssd-data/orj/MappingNetworks/outputs/pro6_mai_v3_attention_partial_controls/pro6_mai_v3_124m_qk_only_qk64_outputgain_20tpp_lr24e4/ckpt.pt,3,HEAD,256.0,0.11323393881320953,0.057588450610637665,0.12262338399887085,0.508579432964325,-0.09076103568077087,-0.22427436709403992,-0.11782889068126678,0.10965544730424881,0.020177748054265976,0.8205075860023499,58.636573791503906,28.389667510986328,68.54917907714844,21.981922149658203,44.23554611206055,13.889691352844238,1.1920928955078125e-07,66.8409423828125,35.083805084228516,69.54651641845703,39.48973846435547,100.54076385498047,48.63802719116211,1.231662428837409
